,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptoms_5
1706,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,
1707,AIDS, patches_in_throat, high_fever, extra_marital_contacts,,
1708,AIDS, muscle_wasting, high_fever, extra_marital_contacts,,
1709,AIDS, muscle_wasting, patches_in_throat, high_fever,,
1710,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1711,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1712,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level,
1713,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level,
1714,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level,
1715,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level,
1716,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1717,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1718,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1719,Diabetes , fatigue, weight_loss, restlessness, lethargy,
1720,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1721,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1722,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1723,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1724,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1725,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1726,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1727,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1728,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1729,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
1730,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
1731,Bronchial Asthma, cough, high_fever, breathlessness, family_history,
1732,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history,
1733,Bronchial Asthma, fatigue, cough, breathlessness, family_history,
1734,Bronchial Asthma, fatigue, cough, high_fever, family_history,
1735,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
1736,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
1737,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
1738,Bronchial Asthma, cough, high_fever, breathlessness, family_history,
1739,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history,
1740,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
1741,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,
1742,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,
1743,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,
1744,Hypertension , headache, chest_pain, dizziness, lack_of_concentration,
1745,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
1746,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
1747,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,
1748,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,
1749,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,
1750,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1751,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1752,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1753,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1754,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1755,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1756,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1757,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1758,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1759,Migraine,headache, pain_behind_the_eyes, blurred_and_distorted_vision, nausea, sweating
1760,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
1761,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
1762,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
1763,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,
1764,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,
1765,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,
1766,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
1767,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
1768,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
1769,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,
1770,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
1771,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
1772,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,
1773,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,"",
1774,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, weakness_of_one_body_side,
1775,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, weakness_of_one_body_side,
1776,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
1777,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,
1778,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,
1779,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, weakness_of_one_body_side,
1780,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1781,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1782,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1783,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1784,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1785,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1786,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1787,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1788,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1789,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
1790,Malaria,high_fever, chills, shivering, sweating, nausea
1791,Malaria,high_fever, chills, shivering, sweating, nausea
1792,Malaria,high_fever, chills, shivering, sweating, nausea
1793,Malaria,high_fever, chills, shivering, sweating, nausea
1794,Malaria,high_fever, chills, shivering, sweating, nausea
1795,Malaria,high_fever, chills, shivering, sweating, nausea
1796,Malaria,high_fever, chills, shivering, sweating, nausea
1797,Malaria,high_fever, chills, shivering, sweating, nausea
1798,Malaria,high_fever, chills, shivering, sweating, nausea
1799,Malaria,high_fever, chills, shivering, sweating, nausea
1800,Chicken pox,itching, skin_rash, fatigue, lethargy,
1801,Chicken pox, skin_rash, fatigue, lethargy, high_fever,
1802,Chicken pox,itching, fatigue, lethargy, high_fever,
1803,Chicken pox,itching, skin_rash, lethargy, high_fever,
1804,Chicken pox,itching, skin_rash, fatigue, high_fever,
1805,Chicken pox,itching, skin_rash, fatigue, lethargy,
1806,Chicken pox,itching, skin_rash, fatigue, lethargy,
1807,Chicken pox,itching, skin_rash, fatigue, lethargy,
1808,Chicken pox,itching, skin_rash, fatigue, lethargy,
1809,Chicken pox,itching, skin_rash, fatigue, lethargy,
1810,Dengue, skin_rash, chills, joint_pain, vomiting,
1811,Dengue, skin_rash, chills, joint_pain, vomiting,
1812,Dengue, skin_rash, chills, joint_pain, vomiting,
1813,Dengue, skin_rash, chills, joint_pain, vomiting,
1814,Dengue, chills, joint_pain, vomiting, fatigue,
1815,Dengue, skin_rash, joint_pain, vomiting, fatigue,
1816,Dengue, skin_rash, chills, vomiting, fatigue,
1817,Dengue, skin_rash, chills, joint_pain, fatigue,
1818,Dengue, skin_rash, chills, joint_pain, vomiting,
1819,Dengue, skin_rash, chills, joint_pain, vomiting,
1820,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1821,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1822,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1823,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1824,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1825,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1826,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1827,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1828,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1829,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
1830,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1831,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1832,hepatitis A, vomiting, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1833,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1834,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1835,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1836,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1837,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1838,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1839,hepatitis A, joint_pain, yellowish_skin, dark_urine, vomiting, loss_of_appetite
1840,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1841,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1842,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1843,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1844,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1845,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1846,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1847,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1848,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1849,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
1850,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1851,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1852,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1853,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1854,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1855,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1856,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1857,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1858,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1859,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
1860,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1861,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1862,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1863,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1864,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1865,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1866,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1867,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1868,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1869,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
1870,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1871,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1872,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1873,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1874,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1875,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1876,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1877,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1878,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1879,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
1880,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1881,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1882,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1883,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1884,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1885,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1886,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1887,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1888,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1889,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
1890,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1891,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1892,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1893,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1894,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1895,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1896,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1897,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1898,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1899,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
1900,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1901,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1902,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1903,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1904,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1905,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1906,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1907,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1908,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1909,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
1910,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1911,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1912,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1913,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1914,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1915,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1916,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1917,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1918,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1919,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
1920,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1921,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1922,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1923,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1924,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1925,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1926,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1927,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1928,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1929,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
1930,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1931,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1932,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1933,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1934,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1935,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1936,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1937,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1938,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1939,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
1940,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1941,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1942,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1943,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1944,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1945,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1946,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1947,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1948,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1949,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
1950,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1951,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1952,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1953,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1954,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1955,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1956,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1957,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1958,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1959,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
1960,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1961,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1962,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating,
1963,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating,
1964,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating,
1965,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating,
1966,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1967,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1968,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1969,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness,
1970,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1971,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1972,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1973,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1974,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1975,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1976,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1977,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1978,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1979,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
1980,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1981,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1982,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1983,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1984,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1985,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1986,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1987,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1988,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1989,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
1990,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1991,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1992,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1993,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1994,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1995,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1996,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1997,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1998,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
1999,Arthritis,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2000,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2001,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2002,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2003,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2004,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2005,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2006,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2007,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2008,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2009,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
2010,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2011,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2012,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2013,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2014,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2015,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2016,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2017,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2018,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2019,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
2020,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2021,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2022,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2023,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2024,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2025,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2026,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2027,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2028,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2029,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
2030,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting,
2031,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting,
